2026-08-24T13:21:51.797-06:00 | [PRESS] | evento_182 | tecla=Key.space | delta_ms=12
2026-08-24T13:21:51.909-06:00 | [RELEASE] | evento_183 | tecla=Key.space | delta_ms=111
2026-08-24T13:21:51.978-06:00 | [PRESS] | evento_184 | tecla='e' | delta_ms=68
2026-08-24T13:21:51.984-06:00 | [PRESS] | evento_185 | tecla='r' | delta_ms=6
2026-08-24T13:21:52.016-06:00 | [RELEASE] | evento_186 | tecla='e' | delta_ms=32
2026-08-24T13:21:52.021-06:00 | [RELEASE] | evento_187 | tecla='r' | delta_ms=4
2026-08-24T13:21:52.037-06:00 | [PRESS] | evento_188 | tecla='l' | delta_ms=16
2026-08-24T13:21:52.156-06:00 | [RELEASE] | evento_189 | tecla='l' | delta_ms=119
2026-08-24T13:21:52.697-06:00 | [PRESS] | evento_190 | tecla=Key.backspace | delta_ms=540
2026-08-24T13:21:52.748-06:00 | [RELEASE] | evento_191 | tecla=Key.backspace | delta_ms=51
2026-08-24T13:21:52.837-06:00 | [PRESS] | evento_192 | tecla=Key.backspace | delta_ms=88
2026-08-24T13:21:52.895-06:00 | [RELEASE] | evento_193 | tecla=Key.backspace | delta_ms=58
2026-08-24T13:21:53.119-06:00 | [PRESS] | evento_194 | tecla=Key.backspace | delta_ms=223
2026-08-24T13:21:53.214-06:00 | [RELEASE] | evento_195 | tecla=Key.backspace | delta_ms=95
2026-08-24T13:21:54.290-06:00 | [PRESS] | evento_196 | tecla='e' | delta_ms=1076
2026-08-24T13:21:54.365-06:00 | [RELEASE] | evento_197 | tecla='e' | delta_ms=75
2026-08-24T13:21:54.396-06:00 | [PRESS] | evento_198 | tecla='l' | delta_ms=30
2026-08-24T13:21:54.515-06:00 | [RELEASE] | evento_199 | tecla='l' | delta_ms=119
2026-08-24T13:21:54.686-06:00 | [PRESS] | evento_200 | tecla=Key.space | delta_ms=170
2026-08-24T13:21:54.766-06:00 | [RELEASE] | evento_201 | tecla=Key.space | delta_ms=80
2026-08-24T13:21:55.224-06:00 | [PRESS] | evento_202 | tecla='6' | delta_ms=458
2026-08-24T13:21:55.269-06:00 | [RELEASE] | evento_203 | tecla='6' | delta_ms=45
2026-08-24T13:21:55.521-06:00 | [PRESS] | evento_204 | tecla=Key.shift | delta_ms=251
2026-08-24T13:21:55.747-06:00 | [PRESS] | evento_205 | tecla=':' | delta_ms=225
2026-08-24T13:21:55.839-06:00 | [RELEASE] | evento_206 | tecla=':' | delta_ms=92
2026-08-24T13:21:55.898-06:00 | [PRESS] | evento_207 | tecla=':' | delta_ms=58
2026-08-24T13:21:55.968-06:00 | [RELEASE] | evento_208 | tecla=':' | delta_ms=69
